,dice_score_ig,iou_score_ig,dice_score_saliency,iou_score_saliency,dice_score_deep_lift,iou_score_deep_lift,dice_score_grad_cam,iou_score_grad_cam,label_ground_truth,label_predicted
ISIC_0016028,0.039722421631969373,0.020263671875,0.039722421631969373,0.020263671875,0.039722421631969373,0.020263671875,0.039722421631969373,0.020263671875,2,2
ISIC_0014944,0.9329239489844119,0.8742806551571491,0.2209674792334003,0.12420654296875,0.9329239489844119,0.8742806551571491,0.9329239489844119,0.8742806551571491,2,2
ISIC_0015990,0.4287441699775436,0.27286719437115214,0.46847188032569587,0.30588526211671613,0.4287441699775436,0.27286719437115214,0.4287441699775436,0.27286719437115214,2,2
ISIC_0016057,0.08518888431937019,0.04448944526264114,0.08522393323145645,0.04450856406163669,0.08518888431937019,0.04448944526264114,0.08518888431937019,0.04448944526264114,2,2
ISIC_0015089,0.7229349186483104,0.5660908979541835,0.5130752373995617,0.3450579681666339,0.7229349186483104,0.5660908979541835,0.7229349186483104,0.5660908979541835,2,2
ISIC_0015937,0.16340391530163803,0.0889710680878834,0.18061382203576948,0.09927184466019418,0.16340391530163803,0.0889710680878834,0.16340391530163803,0.0889710680878834,2,2
ISIC_0015981,0.074317070261243,0.03859257882673604,0.07424621618400667,0.038554365987994305,0.074317070261243,0.03859257882673604,0.074317070261243,0.03859257882673604,2,2
ISIC_0012266,0.34010925047013524,0.20489857574449719,0.34640776699029124,0.20948802254579615,0.34010925047013524,0.20489857574449719,0.34010925047013524,0.20489857574449719,1,2
ISIC_0014186,0.23862901487389523,0.13547913352098886,0.2388220700070115,0.13560360139645986,0.23862901487389523,0.13547913352098886,0.23862901487389523,0.13547913352098886,0,1
ISIC_0015298,0.21115842340866905,0.1180419921875,0.21115842340866905,0.1180419921875,0.21115842340866905,0.1180419921875,0.21115842340866905,0.1180419921875,2,2
ISIC_0015040,0.1395560097655141,0.07501220703125,0.1395560097655141,0.07501220703125,0.1395560097655141,0.07501220703125,0.1395560097655141,0.07501220703125,2,2
ISIC_0012510,0.9622169437846397,0.92718505859375,0.9622169437846397,0.92718505859375,0.9622169437846397,0.92718505859375,0.9622169437846397,0.92718505859375,1,1
ISIC_0015157,0.49839611401338096,0.3319091796875,0.49839611401338096,0.3319091796875,0.49839611401338096,0.3319091796875,0.49839611401338096,0.3319091796875,2,2
ISIC_0012272,0.8500050776886361,0.7391381137407277,0.41083916083916083,0.2585258525852585,0.8500050776886361,0.7391381137407277,0.8500050776886361,0.7391381137407277,1,1
ISIC_0014336,0.008192142990132191,0.004112918302486446,0.48061943187648676,0.3163259040952907,0.008192142990132191,0.004112918302486446,0.008192142990132191,0.004112918302486446,0,0
ISIC_0015163,0.5197422917625403,0.3511160853074675,0.254841997961264,0.14602803738317757,0.5197422917625403,0.3511160853074675,0.5197422917625403,0.3511160853074675,0,2
ISIC_0015982,0.26991150442477874,0.15601023017902813,0.1315895141398497,0.0704285889721233,0.26991150442477874,0.15601023017902813,0.26991150442477874,0.15601023017902813,2,2
ISIC_0013269,0.05549523464832911,0.02853952103238615,0.05536831969186327,0.028472394156969547,0.05549523464832911,0.02853952103238615,0.05549523464832911,0.02853952103238615,2,2
ISIC_0015176,0.7309062742060418,0.575927734375,0.7309062742060418,0.575927734375,0.7309062742060418,0.575927734375,0.7309062742060418,0.575927734375,2,2
ISIC_0012240,0.5656362203345302,0.39434641919531105,0.5665540985044516,0.3952392608003916,0.5656362203345302,0.39434641919531105,0.5656362203345302,0.39434641919531105,1,1
ISIC_0016055,0.4316863947860258,0.27525514881134266,0.4322664235327991,0.27572696663605756,0.4316863947860258,0.27525514881134266,0.4316863947860258,0.27525514881134266,2,2
ISIC_0012273,0.521097423079212,0.3523541247484909,0.5701185910152978,0.39871739532589257,0.521097423079212,0.3523541247484909,0.521097423079212,0.3523541247484909,1,1
ISIC_0013291,0.10359494260910097,0.05462701241243702,0.10333604556550041,0.05448305448305448,0.10359494260910097,0.05462701241243702,0.10359494260910097,0.05462701241243702,2,2
ISIC_0015395,0.4154738878143133,0.26220703125,0.4154738878143133,0.26220703125,0.4154738878143133,0.26220703125,0.4154738878143133,0.26220703125,2,2
ISIC_0012216,0.2900790166812994,0.1696446909016225,0.16293034427542033,0.08869034648071475,0.2900790166812994,0.1696446909016225,0.2900790166812994,0.1696446909016225,2,1
ISIC_0016043,0.06165520512212473,0.031808172253486665,0.06173572361391428,0.031851035158642654,0.06165520512212473,0.031808172253486665,0.06165520512212473,0.031808172253486665,2,0
ISIC_0014912,0.5742505330026542,0.40277099609375,0.5742505330026542,0.40277099609375,0.5742505330026542,0.40277099609375,0.5742505330026542,0.40277099609375,0,0
ISIC_0015060,0.4883403997577226,0.32304918361214063,0.4697996686247929,0.30701840732355545,0.4883403997577226,0.32304918361214063,0.4883403997577226,0.32304918361214063,2,0
ISIC_0015133,0.4215799614643545,0.26708984375,0.4215799614643545,0.26708984375,0.4215799614643545,0.26708984375,0.4215799614643545,0.26708984375,0,2
ISIC_0014489,0.7262936080543199,0.5702205882352941,0.7265487762033025,0.5705352216295752,0.7262936080543199,0.5702205882352941,0.7262936080543199,0.5702205882352941,0,2
ISIC_0015960,0.12968099861303745,0.06933629959213941,0.1298085266385145,0.06940921744509743,0.12968099861303745,0.06933629959213941,0.12968099861303745,0.06933629959213941,2,2
ISIC_0014587,0.022708158116063918,0.011484474691620587,0.07902450463125806,0.0411376953125,0.022708158116063918,0.011484474691620587,0.022708158116063918,0.011484474691620587,1,1
ISIC_0015466,0.7608835676126245,0.6140533268101761,0.7298492855744764,0.5746162855205572,0.7608835676126245,0.6140533268101761,0.7608835676126245,0.6140533268101761,2,2
ISIC_0014027,0.23354358725537766,0.1322102179088079,0.2335813652539631,0.13223443223443224,0.23354358725537766,0.1322102179088079,0.23354358725537766,0.1322102179088079,0,0
ISIC_0013953,0.2694705695868118,0.15571568148510015,0.2695987735898927,0.15580130750901203,0.2694705695868118,0.15571568148510015,0.2694705695868118,0.15571568148510015,0,0
ISIC_0015641,0.48772383237954586,0.322509765625,0.48772383237954586,0.322509765625,0.48772383237954586,0.322509765625,0.48772383237954586,0.322509765625,2,2
ISIC_0015526,0.1963761289965091,0.10887864823348695,0.791818436536845,0.6553803339517625,0.1963761289965091,0.10887864823348695,0.1963761289965091,0.10887864823348695,2,2
ISIC_0013216,0.3578556509631005,0.21791972866026002,0.0928658927842268,0.048693949960237355,0.3578556509631005,0.21791972866026002,0.3578556509631005,0.21791972866026002,2,2
ISIC_0016033,0.1824501493993536,0.10038247332751794,0.16838313917496764,0.09193142014379647,0.1824501493993536,0.10038247332751794,0.1824501493993536,0.10038247332751794,2,2
ISIC_0014629,0.2209674792334003,0.12420654296875,0.2209674792334003,0.12420654296875,0.2209674792334003,0.12420654296875,0.2209674792334003,0.12420654296875,1,1
