Image,Dice PCA1,IoU PCA1,Dice PCA2,IoU PCA2,Dice PCA3,IoU PCA3,Dice PCA4,IoU PCA4,Dice PCA5,IoU PCA5
ISIC_0016028,0.039722421631969373,0.020263671875,0.039722421631969373,0.020263671875,0.039722421631969373,0.020263671875,0.039722421631969373,0.020263671875,0.039722421631969373,0.020263671875
ISIC_0014944,0.9329239489844119,0.8742806551571491,0.9319199057714959,0.8725187472430525,0.9329239489844119,0.8742806551571491,0.9329872581406323,0.874391862007961,0.9331127393051288,0.874612317235268
ISIC_0015990,0.4287441699775436,0.27286719437115214,0.4283252929014473,0.2725279543959658,0.4373126432727914,0.2798465357707064,0.4603409933283914,0.2989889263360616,0.450509461426492,0.29074682949741665
ISIC_0016057,0.08518888431937019,0.04448944526264114,0.08519889535225336,0.04449490610040506,0.08519889535225336,0.04449490610040506,0.08509889077997534,0.04444035797474562,0.08509889077997534,0.04444035797474562
ISIC_0015089,0.7229349186483104,0.5660908979541835,0.6473142078828638,0.4785399622404028,0.7232994526974199,0.5665380611182559,0.7228350152546351,0.5659683939728041,0.7228849689052294,0.5660296459634938
ISIC_0015937,0.16340391530163803,0.0889710680878834,0.16710929519918283,0.09117253678109674,0.16020368194281237,0.08707685756866085,0.1774788457366023,0.09738095238095239,0.19564697440803636,0.1084305408271474
ISIC_0015981,0.07432150313152401,0.038594969644405897,0.07445028680688337,0.038664432445851174,0.07442360530402581,0.0386500403250822,0.074317070261243,0.03859257882673604,0.07431263791972327,0.03859018830525272
ISIC_0012266,0.3362472406181016,0.2021016877189258,0.3542192046556741,0.21522866572371524,0.3423294180937864,0.20651233232366942,0.35979266185587966,0.2193580369314661,0.3495642288745737,0.21180117093330272
ISIC_0014186,0.23862901487389523,0.13547913352098886,0.23810291982577836,0.13514008423365684,0.23862901487389523,0.13547913352098886,0.23862901487389523,0.13547913352098886,0.5854889589905363,0.41391614629794826
ISIC_0015298,0.21115842340866905,0.1180419921875,0.21115842340866905,0.1180419921875,0.21115842340866905,0.1180419921875,0.21115842340866905,0.1180419921875,0.21115842340866905,0.1180419921875
